"id","title","description","availability","condition","price","link","image_link","brand","google_product_category","fb_product_category","quantity_to_sell_on_facebook","sale_price","sale_price_effective_date","item_group_id","gender","color","size","age_group","material","pattern","shipping","shipping_weight","style"
"49","Alder Eri Cotton Panjabi","Wax printed design has been outlined on this enri cotton Panjabi. Pomegranate & Myrabalan were used to flourish it's olive Colors. \nEvery Aranya product is made from natural materials using craft techniques, Align with in a fair trade frame work.","in stock","new","4675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010348FF06194819/53_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010348FF06194819/53_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","4675 BDT","","","","Olive","","all ages","","","","255 g",""
"50","Sibyr Eri Silk Panjabi","Block printed authentic silk panjabi, that has been colored with sagupast for the dark shade. All Aranya products are hand made, using natural fibers and materials within a fair trade framework. \n","in stock","new","5975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010354SF07192719/54_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010354SF07192719/54_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","5975 BDT","","","","Beige,Black","","all ages","","","","255 g",""
"51","Comfy Eri Cotton Panjabi","Catechu has been used to derive brown colour on this Endi Cotton Panjabi.TieDye technique was used to amplify it's bold design. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","3675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010356SF07193219/55_2.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010356SF07193219/55_2.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","3675 BDT","","","","Brown","","all ages","","","","255 g",""
"52","Mellow Viscose Panjabi","Classic viscose fabric Panjabi that has been blocked wax print for the exquisite designs and naturally dyed with myrobalan for the brilliant golden tones. All Aranya products are hand-made, using natural fibers and materials within a fair trade framework.","in stock","new","2475 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010359IJS1203619/56_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010359IJS1203619/56_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","2475 BDT","","","","Golden","","all ages","","","","255 g",""
"53","Panjabi","Panjabi","in stock","new","4675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010365SRS1204019/58_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010365SRS1204019/58_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","4675 BDT","","","","Blue,Gray","","all ages","","","","0 g",""
"54","Brown Fantasia Eri Cotton Panjabi","Brown Fantasia Eri Cotton Panjabi","in stock","new","3675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010367IJS1203919/59_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010367IJS1203919/59_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","3675 BDT","","","","Brown","","all ages","","","","255 g",""
"55","Aria Eri Cotton Panjabi","Brown Rebel T","in stock","new","5975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010383IJE1204419/60_2.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010383IJE1204419/60_2.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","5975 BDT","","","","Golden","","all ages","","","","255 g",""
"56","Rhodonite cotton panjabi","Blue Serge Cotton T","in stock","new","2975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010393RG02200820/61_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010393RG02200820/61_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","2975 BDT","","","","Brown","","all ages","","","","0 g",""
"57","Bornite cotton panjabi","Aether Cotton T","in stock","new","2975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010395RG02200720/62_4.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010395RG02200720/62_4.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","2975 BDT","","","","Blue,Golden","","all ages","","","","0 g",""
"58","Aciano Cotton Panjabi","Rhapsody knit cotton T","in stock","new","3075 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010396RG02200920/63_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010396RG02200920/63_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","3075 BDT","","","","Blue,Gray","","all ages","","","","0 g",""
"59","Sodalite voil panjabi","Amber knit T","in stock","new","3475 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010401RGS1203821/64_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010401RGS1203821/64_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","3475 BDT","","","","Blue,Gray","","all ages","","","","0 g",""
"60","Kyanite cotton Voil panjabi","Amaryllis Lilen Women Tops","in stock","new","2815 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010429MCE32211122/65_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010429MCE32211122/65_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","2815 BDT","","","","Teal","","all ages","","","","0 g",""
"61","Ussingite cotton panjabi","Jovial Knit Cotton T","in stock","new","2475 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010430NKE5220720/66_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010430NKE5220720/66_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","2475 BDT","","","","Brown","","all ages","","","","0 g",""
"62","Cuprite cotton panjabi","Aether cotton t","in stock","new","2975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010431NKE5224619/67_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010431NKE5224619/67_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","5","2975 BDT","","","","Brown,Manjit","","all ages","","","","0 g",""
"63","Almandine cotton panjabi","Celestial knit cotton T","in stock","new","4275 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010433NKE5221022/68_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0010433NKE5221022/68_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","4275 BDT","","","","Grey,Manjit","","all ages","","","","0 g",""
"64","Brown Rapture Silk Panjabi","Swan A","in stock","new","6975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M001065MAS117/41_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M001065MAS117/41_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","6975 BDT","","","","Brown","","all ages","","","","255 g",""
"65","Duman Eri Silk Fatua","Rondeletia Soft silk Co","in stock","new","3765 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0020033NH09193519/69_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0020033NH09193519/69_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","3765 BDT","","","","Golden","","all ages","","","","114 g",""
"66","Bletilla Bomber Jacket","Pomegranate ; Myrabalan has been used to derive olive colour on this bomber jacket. Wax print technique was used to amplify it's different looks. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","3985 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0170019SR08193419/70_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0170019SR08193419/70_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","3985 BDT","","","","Olive","","all ages","","","","0 g",""
"67","Lattice Cotton Vest","Wax printed design has been outlined on this pure Cotton vest, while naturally dyeing with khasmi has flourished it's black colour. \n \nUsing natural materials, full handmade Aranya's products are align within a fair trade framework.","in stock","new","5285 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0340001SR08193419/71_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0340001SR08193419/71_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","5285 BDT","","","","Black","","all ages","","","","437 g",""
"68","Brown Rebel T","Brown Rebel T","in stock","new","1175 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0920001NKE118/72_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0920001NKE118/72_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","1175 BDT","","","","Brown","","all ages","","","","302 g",""
"69","Blue Serge Cotton T","Blue Serge Cotton T","in stock","new","1275 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0920002NKE118/73_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0920002NKE118/73_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","1275 BDT","","","","Blue","","all ages","","","","302 g",""
"70","Aether Cotton T","Aether Cotton T","in stock","new","1275 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0920005NKE118/74_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0920005NKE118/74_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","1275 BDT","","","","Blue","","all ages","","","","302 g",""
"71","Turquoise Cotton T","Turquoise Cotton T","in stock","new","1275 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0920009NH12194619/75_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0920009NH12194619/75_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","1275 BDT","","","","Blue,Brown","","all ages","","","","302 g",""
"72","Rhapsody knit cotton T","Rhapsody knit cotton T","in stock","new","1175 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0920010NH12194519/76_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/M0920010NH12194519/76_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","1175 BDT","","","","Golden","","all ages","","","","302 g",""
"73","Cremon Panjabi","Amaryllis Lilen Women Tops","in stock","new","3860 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA010BA04E123INHC0623/188.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA010BA04E123INHC0623/188.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","3860 BDT","","","","Blue,Pink","","all ages","","","","0 g",""
"74","Willow Cotton Panjabi","This cotton panjabi brings in the hues of olive from nature. The process of wax unveils the unique designs of this panjabi. \n \nAll Aranya products are handmade, using natural fibers and materials, within a fair trade framework.","in stock","new","4675 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA012BA04E123INHC0623/2.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA012BA04E123INHC0623/2.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","4675 BDT","","","","Olive","","all ages","","","","0 g",""
"75","Valerian Cotton Panjabi","you can wear this cotton made naturally dyed simply handsome Panjabi on any occasion confidently","in stock","new","2975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA013BA04B23INHC0623/17.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA013BA04B23INHC0623/17.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","2975 BDT","","","","Red,Gray","","all ages","","","","0 g",""
"76","Rapa Panjabi","Wax printed design has been outlined on this cotton Panjabi.The mesmerizing olive color on this cotton panjabi was drawn out. Wax technique is used to embed the color into it, providing you with the best of beauty and relaxation. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair trade framework.","in stock","new","3575 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA014BA04E123INHC0623/164.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA014BA04E123INHC0623/164.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","3575 BDT","","","","Olive","","all ages","","","","0 g",""
"77","Andalusite Panjabi","Wax-printed beautiful motifs are designed in cotton fabrics in a such perfect way. The Color of this Panjabi dyed from natural fibers and materials within a fair trade framework.","in stock","new","2975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA016MC04B23INHC0623/196.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA016MC04B23INHC0623/196.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","2975 BDT","","","","Brown","","all ages","","","","0 g",""
"78","Malachite Panjabi","spatial form is nicely suited for men’s clothes,This Wax Printed cotton panjabi is comfortable to carry in any occation. The Color of this Panjabi dyed from natural fibres and materials within a fair trade framework.","in stock","new","3475 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA017BA04B23INHC0623/192.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA017BA04B23INHC0623/192.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","3475 BDT","","","","Teal","","all ages","","","","0 g",""
"79","Hydrangea Panjabi","The stunning shades of indigo in this stunning panjabi is extracted from natural element. Lilen tops pink color to add the subtle touches of elegance. \n \nAll Aranya products are hand made, using natural fibers and materials within a fair trade framework.","in stock","new","7975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA018MC04E123INHES0623/176.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA018MC04E123INHES0623/176.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","7975 BDT","","","","Blue","","all ages","","","","0 g",""
"80","Tourmaline Panjabi","Wax printed design has been outlined on this khadi Panjabi, while naturally dyeing with blue has flourished it's vibrant colours. All Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","4055 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA019BA04E123INHK0623/184.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA019BA04E123INHK0623/184.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","4055 BDT","","","","","","all ages","","","","0 g",""
"81","Freesia Cotton Panjabi","This summer you can wear this comfortable soft cotton made naturally dyed simply handsome Panjabi in any day.","in stock","new","2975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA022BABINHC0823/13.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA022BABINHC0823/13.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","2975 BDT","","","","Red,Gray","","all ages","","","","0 g",""
"82","Peepa Cotton Panjabil","The natural dyed wax printed cotton panjabi is perfect for any occasion. All Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","3200 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA023BABINHC0823/9.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA023BABINHC0823/9.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","3200 BDT","","","","Olive , Red","","all ages","","","","0 g",""
"83","Moonlight Cotton Panjabi","The minimalistic design and of this panjabi are what make it different from the others.Cotton fabric is used to provide the most comfort, so you can get the best of both worlds. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","3975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA028BAE1INHC1023/21.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA028BAE1INHC1023/21.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","3975 BDT","","","","Blue,Golden","","all ages","","","","0 g",""
"84","Chiastolite Panjabi","This brown panjabi is suitable for any traditional occasion of your choice. Gentle cotton fabric makes it available to wear all year round! \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","3975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA029BABINHV1023/180.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA029BABINHV1023/180.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","3975 BDT","","","","Brown","","all ages","","","","0 g",""
"85","Pollen Cotton Panjabi","With the impulsive color of red and blue, this cotton panjabi comes from the essence of nature. Wax-resistant dye was used to enhance the appearance with exclusive designs. \n \nAll Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","3975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA030BABINHC1223/1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA030BABINHC1223/1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","3975 BDT","","","","Blue,Red","","all ages","","","","0 g",""
"86","Pale Pink cotton panjabi","The eye catching pale pink color on this cotton panjabi was drawn out from pink and white. Cotton fabric to embed the mesmerizing color into it, providing you with the best of beauty and relaxation.","in stock","new","2975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA033SKE2INHV2123/145.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA033SKE2INHV2123/145.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","2975 BDT","","","","Pink","","all ages","","","","0 g",""
"87","Steel Grey cotton panjabi","one toned color on this cotton Panjabi, while naturally dyeing with catechu which flourished it's dark colours fot this panjabi elegent look \n","in stock","new","2875 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA034SKE2INHV2123/125.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA034SKE2INHV2123/125.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","2875 BDT","","","","Gray","","all ages","","","","0 g",""
"88","Ebony cotton panjabi","one toned color on this cotton Panjabi, while naturally dyeing with indigo which flourished it's dark colours fot this panjabi elegent look \n","in stock","new","2975 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA035SKE2INHV2123/129.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA035SKE2INHV2123/129.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","2975 BDT","","","","Blue","","all ages","","","","0 g",""
"89","Firebrick cotton panjabi","one toned color on this cotton Panjabi, while naturally dyeing with catechu which flourished it's dark colours fot this panjabi elegent look \n","in stock","new","2475 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA036SKE2INHV2123/133.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MPA036SKE2INHV2123/133.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","2475 BDT","","","","Brown","","all ages","","","","0 g",""
"90","Alexandrite Mens Resort Shirt","The eye catching natural olive color on this viscous shirt was drawn out from olive . Viscouse fabric to embed the mesmerizing color into it, providing you with the best of beauty and relaxation.","in stock","new","2165 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MSH007BARINHL1923/153.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MSH007BARINHL1923/153.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","2165 BDT","","","","Olive,Golden","","all ages","","","","0 g",""
"91","Amorpha Mens Resort Shirt","This Viscouse Shirt brings in the hues of teal from nature. The process of tie-dye unveils the unique designs of this shirt. \n","in stock","new","2165 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MSH008BARINHL1923/149.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MSH008BARINHL1923/149.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","4","2165 BDT","","","","Teal,Golden","","all ages","","","","0 g",""
"92","Astrantia Mens Resort Shirt","The eye catching grey color on this viscous shirt was drawn out from grey . Viscouse fabric to embed the mesmerizing color into it, providing you with the best of beauty and relaxation.","in stock","new","2165 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MSH009BARINHL1923/141.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MSH009BARINHL1923/141.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","5","2165 BDT","","","","Olive","","all ages","","","","0 g",""
"93","Pumic Mens Resort Shirt","The eye catching grey color on this viscous shirt was drawn out from grey . Viscouse fabric to embed the mesmerizing color into it, providing you with the best of beauty and relaxation.","in stock","new","1965 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MSH010BARINHL1923/137.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MSH010BARINHL1923/137.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","1965 BDT","","","","Gray","","all ages","","","","0 g",""
"94","Bouvardia Mens Resort Shirt","This Viscouse Shirt brings in the hues of black from nature. The process of tie-dye unveils the unique designs of this shirt. \n","in stock","new","2165 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MSH011BARINHL1923/157.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/MSH011BARINHL1923/157.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","2165 BDT","","","","Navy","","all ages","","","","0 g",""
"95","Endi Half Silk Anchol Print Saree","Endi Half Silk Anchol Print Saree","in stock","new","16000 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041171RGE1180920/79_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041171RGE1180920/79_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","16000 BDT","","","","Red,Brown","","all ages","","","","0 g",""
"96","Golden Odyssey Eri Cotton Saree","Wax printed eri cotton saree that comes in shades of olive and golden derived from the natural pomegranate and myrabalan.","in stock","new","10295 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041315RG08183018/80_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041315RG08183018/80_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","10295 BDT","","","","Olive,Golden","","all ages","","","","792 g",""
"97","Salvia Endi cotton saree","The natural dye of teal at paar and anchol, and beige body in the endi cotton saree. Wax ornamentation print has been applied to give this composition a festive look. All Aranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","5995 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041554IJ01203521/81_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041554IJ01203521/81_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","5995 BDT","","","","Teal,Beige","","all ages","","","","419 g",""
"98","Bonica Rose Muslin Kantha Saree","This perfect saree has been made with competence kantha work on the traditional silk fabric. The saree provides the best of comfort and gracefulness with Kantha stitch with indigo and pink at paar anchol.","in stock","new","27000 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041640RG02200720/17.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041640RG02200720/17.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","27000 BDT","","","","White","","all ages","","","","0 g",""
"99","Annual vinca Kantha Drape","The composition of indigo and madder color naturally dyed threads is pleasing on this Kantha saree paar, which is enormously pretty. All Aranya products are handmade, using natural fibers and materials within a fair-trade framework. \n \n \n \n \n \n","in stock","new","18300 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041654SF03204421/240.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041654SF03204421/240.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","0","18300 BDT","","","","White","","all ages","","","","460 g",""
"100","Freesia drape wear","This snowy Kantha saree is presenting a fusion of natural colors, which is hand-stitched by using multi-color natural thread which gives it a Outstanding glance.","in stock","new","18300 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041655SF03204321/25.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041655SF03204321/25.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","1","18300 BDT","","","","White","","all ages","","","","460 g",""
"101","Magnolia with Azure","The preparation of indigo and naturally dyed threads is pleased on this Kantha saree paar,which is enormously pretty. \n \nAll Aranya products are handmade, using natural fibers and materials within a fair-trade framework. \n \n ","in stock","new","18300 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041657SF03204321/236.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041657SF03204321/236.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","18300 BDT","","","","White","","all ages","","","","450 g",""
"102","Six","Six","in stock","new","14875 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041663SF03204421/17.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041663SF03204421/17.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","14875 BDT","","","","White","","all ages","","","","450 g",""
"103","Lupine Cotton Kota Saree","A cotton kota saree with a red and gray wax design with great bloom inspiration for a magnificent appearance. All Aranya products are handmade, using natural fibers and materials within a fair-trade framework.","in stock","new","4995 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041703BAS06220722/82_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041703BAS06220722/82_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","2","4995 BDT","","","","Red,Gray","","all ages","","","","440 g",""
"104","Eveline Cotton Saree","Simplicity, elegance and charmness of this saree understory. Pinkish vibe and the cotton texture create a different look. All Aaranya products are handmade, using natural materials, within a fair trade framework.","in stock","new","4500 BDT","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041704SFS06220722/83_1.jpg","https://res.cloudinary.com/diyc1dizi/image/upload/Aranya_new_products/W0041704SFS06220722/83_1.jpg","Aranya","Apparel & Accessories > Clothing","Apparel & Accessories > Clothing","3","4500 BDT","","","","Red , Pink","","all ages","","","","420 g",""
